700	0.540538768
701	0.540570656
702	0.54055047
703	0.540504873
704	0.540452699
705	0.540345252
706	0.54015245
707	0.539935807
708	0.539968232
709	0.540052493
710	0.539768358
711	0.539706031
712	0.539598028
713	0.539331118
714	0.539214651
715	0.538949052
716	0.538827002
717	0.53910621
718	0.539260467
719	0.539134483
720	0.538804412
721	0.538512607
722	0.538310011
723	0.538168192
724	0.537975947
725	0.537484427
726	0.537249784
727	0.537145813
728	0.53692168
729	0.53682216
730	0.536776304
731	0.536707083
732	0.536547422
733	0.536316911
734	0.536063512
735	0.535815934
736	0.535558124
737	0.535309573
738	0.535087427
739	0.534885406
740	0.534602225
741	0.534362475
742	0.534131587
743	0.533770899
744	0.533465226
745	0.533310552
746	0.533257186
747	0.533030291
748	0.532862027
749	0.532681882
750	0.532426318
751	0.532448232
752	0.532383641
753	0.532155434
754	0.531898618
755	0.531553388
756	0.531261563
757	0.531046371
758	0.530718227
759	0.530248086
760	0.529747784
761	0.529378017
762	0.529322346
763	0.529212793
764	0.529000918
765	0.528812985
766	0.528491875
767	0.528069754
768	0.527691086
769	0.527599315
770	0.527329385
771	0.526965578
772	0.526674628
773	0.526474675
774	0.526317199
775	0.526095529
776	0.525719603
777	0.525323888
778	0.524994294
779	0.524737557
780	0.524508238
781	0.524680972
782	0.524831017
783	0.524686436
784	0.524555047
785	0.524264375
786	0.523851693
787	0.523428798
788	0.523100515
789	0.522966146
790	0.522839864
791	0.522409618
792	0.521940251
793	0.52155596
794	0.521258116
795	0.520913084
796	0.520543496
797	0.520319442
798	0.520248612
799	0.519844512
800	0.519394477
801	0.518986603
802	0.518640121
803	0.518398921
804	0.518249452
805	0.518231034
806	0.518372476
807	0.518201093
808	0.517888268
809	0.517562687
810	0.517157416
811	0.516844094
812	0.516574462
813	0.516289353
814	0.516042769
815	0.515976051
816	0.515891254
817	0.515556097
818	0.515291154
819	0.51504763
820	0.51491342
821	0.515013337
822	0.514790177
823	0.514545679
824	0.514371375
825	0.513958017
826	0.513693571
827	0.51341784
828	0.513021906
829	0.512802382
830	0.51246657
831	0.512188296
832	0.512171507
833	0.512123168
834	0.511921008
835	0.511679232
836	0.51159817
837	0.511431436
838	0.511403978
839	0.511399428
840	0.510992845
841	0.510582328
842	0.510146419
843	0.509687205
844	0.509336074
845	0.509268065
846	0.509288152
847	0.509223521
848	0.509221653
849	0.509167512
850	0.509068727
851	0.508947869
852	0.508713305
853	0.508336365
854	0.507927815
855	0.507643878
856	0.507398069
857	0.50723503
858	0.507110695
859	0.506918232
860	0.506768763
861	0.506703734
862	0.50665317
863	0.50643303
864	0.506169895
865	0.50587066
866	0.505554875
867	0.505304813
868	0.505065441
869	0.504759908
870	0.504358351
871	0.503951629
872	0.503697495
873	0.50364091
874	0.503733397
875	0.503829698
876	0.503768186
877	0.503601611
878	0.503478467
879	0.503372868
880	0.503147304
881	0.502916873
882	0.502939681
883	0.503117243
884	0.503054718
885	0.502770146
886	0.502650579
887	0.502242704
888	0.501805305
889	0.501523594
890	0.501352648
891	0.501276334
892	0.501140535
893	0.500936468
894	0.500909944
895	0.500596434
896	0.500389973
897	0.500419835
898	0.499885221
899	0.499440312
900	0.499094506
901	0.498725186
902	0.498327027
903	0.498258054
904	0.498167545
905	0.49777934
906	0.49783654
907	0.497746537
908	0.497413377
909	0.496995936
910	0.496807675
911	0.496504287
912	0.496238013
913	0.496239185
914	0.496042252
915	0.496006399
916	0.495977739
917	0.495612641
918	0.495057752
919	0.494500309
920	0.493969649
921	0.493404885
922	0.492817938
923	0.492577175
924	0.492284169
925	0.491362592
926	0.491173486
927	0.490984956
928	0.490539591
929	0.490067154
930	0.489969383
931	0.489767174
932	0.489395628
933	0.489096701
934	0.488663574
935	0.488252074
936	0.488037844
937	0.488084197
938	0.487907698
939	0.487410525
940	0.486842344
941	0.486563206
942	0.486123582
943	0.485860308
944	0.485613197
945	0.484957665
946	0.48435845
947	0.484026621
948	0.483837197
949	0.483513484
950	0.48330606
951	0.482888073
952	0.482389619
953	0.482132037
954	0.481645197
955	0.481231441
956	0.480782787
957	0.480080853
958	0.479710619
959	0.479393284
960	0.479084194
961	0.478813648
962	0.478262534
963	0.477904936
964	0.477693588
965	0.477350195
966	0.476731588
967	0.476721078
968	0.476646443
969	0.475853125
970	0.475939413
971	0.475002954
972	0.474087457
973	0.474186331
974	0.473515312
975	0.473114341
976	0.472571582
977	0.471672426
978	0.471361389
979	0.470777373
980	0.469939778
981	0.469256739
982	0.469278842
983	0.468935142
984	0.468512048
985	0.468165358
986	0.467642407
987	0.467707783
988	0.467328648
989	0.466635585
990	0.466746171
991	0.466190984
992	0.465626667
993	0.465269566
994	0.464999507
995	0.465471754
996	0.464724531
997	0.463787695
998	0.464293073
999	0.464180797
1000	0.463937074
1001	0.465363512
1002	0.46454215
1003	0.464113285
1004	0.463634521
1005	0.463269701
1006	0.463353306
1007	0.463017543
1008	0.462508301
1009	0.461989085
1010	0.461555829
1011	0.460940043
1012	0.460742046
1013	0.460839301
1014	0.460867534
1015	0.461191972
1016	0.461211244
1017	0.461125354
1018	0.461015016
1019	0.460515678
1020	0.460048715
1021	0.459671636
1022	0.459246685
1023	0.459065586
1024	0.459136158
1025	0.459032079
1026	0.458955934
1027	0.458910048
1028	0.45886294
1029	0.458918403
1030	0.459193488
1031	0.459181209
1032	0.459081421
1033	0.45887512
1034	0.458567013
1035	0.458312621
1036	0.458235711
1037	0.458164503
1038	0.457971523
1039	0.457694819
1040	0.457474659
1041	0.457164814
1042	0.45693628
1043	0.456786036
